City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Fortuna,US,5/13/2020 19:43,40.6,-124.16,57.99,87,75,11.41
217,Caravelas,BR,5/13/2020 19:43,-17.71,-39.25,75.78,78,0,5.97
218,Kjopsvik,NO,5/13/2020 19:43,68.1,16.37,34,86,100,11.01
219,Lilongwe,MW,5/13/2020 19:43,-13.97,33.79,66.97,65,41,3.65
220,Kavieng,PG,5/13/2020 19:43,-2.57,150.8,83.23,75,78,8.3
221,Trincomalee,LK,5/13/2020 19:43,8.57,81.23,83.28,73,95,2.8
222,Chernyshevsk,RU,5/13/2020 19:43,52.52,117.02,33.71,78,0,12.3
223,Clyde River,CA,5/13/2020 19:43,70.47,-68.59,26.6,92,40,3.36
224,Nhulunbuy,AU,5/13/2020 19:43,-12.23,136.77,78.8,78,40,10.29
225,Axim,GH,5/13/2020 19:43,4.87,-2.24,81.3,81,2,6.13
226,Atar,MR,5/13/2020 19:43,20.52,-13.05,87.04,13,0,8.32
227,Te Anau,NZ,5/13/2020 19:43,-45.42,167.72,47.75,87,95,3.04
228,Huaihua,CN,5/13/2020 19:43,27.55,109.96,67.08,94,100,2.82
229,Tarakan,ID,5/13/2020 19:43,3.3,117.63,81.23,81,63,4.47
230,Jaypur,IN,5/13/2020 19:43,18.85,82.58,79.81,43,94,3.96
231,Grindavik,IS,5/13/2020 19:43,63.84,-22.43,44.6,93,90,20.8
232,Barberton,ZA,5/13/2020 19:43,-25.79,31.05,68,87,20,4.7
233,Bourg-En-Bresse,FR,5/13/2020 19:43,46.17,5.17,51.01,96,100,1.99
234,Hamilton,US,5/13/2020 19:43,39.18,-84.53,59,44,90,10.29
235,Torbay,CA,5/13/2020 19:42,47.67,-52.73,44.6,70,75,29.97
236,Gazojak,TM,5/13/2020 19:43,41.19,61.4,64.31,53,10,2.82
237,Korla,CN,5/13/2020 19:43,41.76,86.15,64.99,38,40,7
238,Katobu,ID,5/13/2020 19:43,-4.94,122.53,75.78,93,99,4.5
239,Alofi,NU,5/13/2020 19:43,-19.06,-169.92,77,100,99,5.82
240,Tilichiki,RU,5/13/2020 19:43,60.47,166.1,27.79,98,27,6.33
241,San Cristobal,VE,5/13/2020 19:43,7.77,-72.22,87.8,55,75,13.87
242,Hovd,MN,5/13/2020 19:40,48.01,91.64,54.7,49,57,3.71
243,Itamarandiba,BR,5/13/2020 19:43,-17.86,-42.86,67.32,88,94,2.48
244,Baturaja,ID,5/13/2020 19:43,-4.13,104.17,75,95,87,2.59
245,Sitka,US,5/13/2020 19:43,57.05,-135.33,44.6,93,90,8.05
246,Kholmy,UA,5/13/2020 19:43,51.87,32.6,43.81,75,42,8.93
247,Ipua,BR,5/13/2020 19:43,-20.44,-48.01,73.31,74,100,4.7
