,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Kirakira,SB,-10.4544,161.9205,83.68,73,96,7.29,overcast clouds
298,Gonzalez,US,30.5816,-87.2914,59.49,70,0,5.75,clear sky
299,Sioux Lookout,CA,50.1001,-91.917,42.87,70,75,4.61,broken clouds
300,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,3.44,overcast clouds
301,Anapolis,BR,-16.3267,-48.9528,75.67,56,0,2.3,clear sky
302,Seljord,NO,59.4894,8.634,38.66,94,100,2.66,overcast clouds
303,Blyth,GB,55.1271,-1.5086,51.98,98,100,5.75,overcast clouds
304,Deputatskiy,RU,69.3,139.9,-1.37,94,36,6.8,scattered clouds
305,Coahuayana,MX,18.7333,-103.6833,74.79,95,100,4.85,overcast clouds
306,Van Buren,US,35.4368,-94.3483,56.21,74,0,3.0,clear sky
307,Cap Malheureux,MU,-19.9842,57.6142,75.47,71,27,5.99,scattered clouds
308,Mbandaka,CD,0.0487,18.2603,69.67,97,100,4.9,overcast clouds
309,Lasa,IT,46.6166,10.7002,56.28,92,100,4.94,overcast clouds
310,Formosa,AR,-26.1775,-58.1781,66.18,94,0,4.61,clear sky
311,Istisu,AZ,40.9457,48.0738,50.67,74,13,4.25,light rain
312,Antofagasta,CL,-23.65,-70.4,58.28,77,42,4.56,scattered clouds
313,Goderich,CA,43.7501,-81.7165,42.91,87,99,6.91,overcast clouds
314,Zavyalovo,RU,54.5053,82.4484,42.15,86,97,8.28,light rain
315,Baruun-Urt,MN,46.6806,113.2792,41.72,44,83,2.57,broken clouds
316,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,86,100,11.5,overcast clouds
317,Rincon,US,32.296,-81.2354,56.86,76,0,0.0,clear sky
318,Ust-Kulom,RU,61.6864,53.6902,29.95,94,100,7.05,snow
319,Bantry,IE,51.6833,-9.45,58.78,94,97,20.15,overcast clouds
320,Jaisalmer,IN,26.9147,70.9181,86.2,21,0,6.26,clear sky
321,Achacachi,BO,-16.05,-68.6833,43.57,72,46,4.56,scattered clouds
322,Hauterive,FR,46.0901,3.4459,61.56,94,100,4.92,overcast clouds
323,Santa Maria,BR,-29.6842,-53.8069,65.19,96,95,7.76,overcast clouds
324,Pastos Bons,BR,-6.6017,-44.0767,73.98,51,8,2.71,clear sky
325,Kropotkin,RU,45.4375,40.5756,48.87,76,99,18.72,overcast clouds
326,Soyo,AO,-6.1349,12.3689,76.1,87,100,5.97,overcast clouds
327,Krasnyy Chikoy,RU,50.3643,108.7512,39.72,52,100,3.24,overcast clouds
328,Constitucion,CL,-35.3333,-72.4167,53.1,85,100,10.04,overcast clouds
